z dL
6.38906 2.04551e+27 
6.3861 2.04438e+27 
6.38315 2.04325e+27 
6.38019 2.04212e+27 
6.37724 2.04098e+27 
6.37429 2.03985e+27 
6.37134 2.03873e+27 
6.36839 2.0376e+27 
6.36544 2.03647e+27 
6.3625 2.03534e+27 
6.35955 2.03421e+27 
6.35661 2.03309e+27 
6.35367 2.03196e+27 
6.35073 2.03083e+27 
6.34778 2.02971e+27 
6.34485 2.02859e+27 
6.34191 2.02746e+27 
6.33897 2.02634e+27 
6.33604 2.02521e+27 
6.3331 2.02409e+27 
6.33017 2.02297e+27 
6.32724 2.02185e+27 
6.3243 2.02073e+27 
6.32138 2.01961e+27 
6.31845 2.01849e+27 
6.31552 2.01737e+27 
6.31259 2.01625e+27 
6.30967 2.01513e+27 
6.30674 2.01401e+27 
6.30382 2.0129e+27 
6.3009 2.01178e+27 
6.29798 2.01066e+27 
6.29506 2.00955e+27 
6.29214 2.00843e+27 
6.28923 2.00732e+27 
6.28631 2.0062e+27 
6.2834 2.00509e+27 
6.28048 2.00398e+27 
6.27757 2.00286e+27 
6.27466 2.00175e+27 
6.27175 2.00064e+27 
6.26884 1.99953e+27 
6.26593 1.99842e+27 
6.26303 1.99731e+27 
6.26012 1.9962e+27 
6.25722 1.99509e+27 
6.25431 1.99398e+27 
6.25141 1.99287e+27 
6.24851 1.99177e+27 
6.24561 1.99066e+27 
6.24271 1.98955e+27 
6.23982 1.98845e+27 
6.23692 1.98734e+27 
6.23403 1.98624e+27 
6.23113 1.98513e+27 
6.22824 1.98403e+27 
6.22535 1.98293e+27 
6.22246 1.98182e+27 
6.21957 1.98072e+27 
6.21668 1.97962e+27 
6.2138 1.97852e+27 
6.21091 1.97742e+27 
6.20803 1.97632e+27 
6.20514 1.97522e+27 
6.20226 1.97412e+27 
6.19938 1.97302e+27 
6.1965 1.97192e+27 
6.19362 1.97083e+27 
6.19074 1.96973e+27 
6.18787 1.96863e+27 
6.18499 1.96754e+27 
6.18212 1.96644e+27 
6.17925 1.96535e+27 
6.17637 1.96425e+27 
6.1735 1.96316e+27 
6.17063 1.96206e+27 
6.16777 1.96097e+27 
6.1649 1.95988e+27 
6.16203 1.95879e+27 
6.15917 1.9577e+27 
6.1563 1.9566e+27 
6.15344 1.95551e+27 
6.15058 1.95442e+27 
6.14772 1.95334e+27 
6.14486 1.95225e+27 
6.142 1.95116e+27 
6.13915 1.95007e+27 
6.13629 1.94898e+27 
6.13344 1.9479e+27 
6.13058 1.94681e+27 
6.12773 1.94572e+27 
6.12488 1.94464e+27 
6.12203 1.94355e+27 
6.11918 1.94247e+27 
6.11633 1.94139e+27 
6.11349 1.9403e+27 
6.11064 1.93922e+27 
6.1078 1.93814e+27 
6.10495 1.93706e+27 
6.10211 1.93598e+27 
6.09927 1.93489e+27 
6.09643 1.93381e+27 
6.09359 1.93274e+27 
6.09075 1.93166e+27 
6.08792 1.93058e+27 
6.08508 1.9295e+27 
6.08225 1.92842e+27 
6.07942 1.92734e+27 
6.07658 1.92627e+27 
6.07375 1.92519e+27 
6.07092 1.92412e+27 
6.0681 1.92304e+27 
6.06527 1.92197e+27 
6.06244 1.92089e+27 
6.05962 1.91982e+27 
6.05679 1.91875e+27 
6.05397 1.91767e+27 
6.05115 1.9166e+27 
6.04833 1.91553e+27 
6.04551 1.91446e+27 
6.04269 1.91339e+27 
6.03987 1.91232e+27 
6.03706 1.91125e+27 
6.03424 1.91018e+27 
6.03143 1.90911e+27 
6.02862 1.90804e+27 
6.02581 1.90698e+27 
6.023 1.90591e+27 
6.02019 1.90484e+27 
6.01738 1.90378e+27 
6.01457 1.90271e+27 
6.01177 1.90165e+27 
6.00896 1.90058e+27 
6.00616 1.89952e+27 
6.00335 1.89845e+27 
6.00055 1.89739e+27 
5.99775 1.89633e+27 
5.99495 1.89527e+27 
5.99216 1.8942e+27 
5.98936 1.89314e+27 
5.98656 1.89208e+27 
5.98377 1.89102e+27 
5.98098 1.88996e+27 
5.97818 1.8889e+27 
5.97539 1.88785e+27 
5.9726 1.88679e+27 
5.96981 1.88573e+27 
5.96702 1.88467e+27 
5.96424 1.88362e+27 
