z dL
6.38906 1.96374e+27 
6.3861 1.96269e+27 
6.38315 1.96164e+27 
6.38019 1.96059e+27 
6.37724 1.95954e+27 
6.37429 1.95849e+27 
6.37134 1.95744e+27 
6.36839 1.95639e+27 
6.36544 1.95534e+27 
6.3625 1.9543e+27 
6.35955 1.95325e+27 
6.35661 1.9522e+27 
6.35367 1.95116e+27 
6.35073 1.95011e+27 
6.34778 1.94907e+27 
6.34485 1.94802e+27 
6.34191 1.94698e+27 
6.33897 1.94593e+27 
6.33604 1.94489e+27 
6.3331 1.94385e+27 
6.33017 1.94281e+27 
6.32724 1.94176e+27 
6.3243 1.94072e+27 
6.32138 1.93968e+27 
6.31845 1.93864e+27 
6.31552 1.9376e+27 
6.31259 1.93656e+27 
6.30967 1.93552e+27 
6.30674 1.93449e+27 
6.30382 1.93345e+27 
6.3009 1.93241e+27 
6.29798 1.93137e+27 
6.29506 1.93034e+27 
6.29214 1.9293e+27 
6.28923 1.92827e+27 
6.28631 1.92723e+27 
6.2834 1.9262e+27 
6.28048 1.92516e+27 
6.27757 1.92413e+27 
6.27466 1.9231e+27 
6.27175 1.92206e+27 
6.26884 1.92103e+27 
6.26593 1.92e+27 
6.26303 1.91897e+27 
6.26012 1.91794e+27 
6.25722 1.91691e+27 
6.25431 1.91588e+27 
6.25141 1.91485e+27 
6.24851 1.91382e+27 
6.24561 1.91279e+27 
6.24271 1.91176e+27 
6.23982 1.91073e+27 
6.23692 1.90971e+27 
6.23403 1.90868e+27 
6.23113 1.90765e+27 
6.22824 1.90663e+27 
6.22535 1.9056e+27 
6.22246 1.90458e+27 
6.21957 1.90355e+27 
6.21668 1.90253e+27 
6.2138 1.9015e+27 
6.21091 1.90048e+27 
6.20803 1.89946e+27 
6.20514 1.89844e+27 
6.20226 1.89742e+27 
6.19938 1.89639e+27 
6.1965 1.89537e+27 
6.19362 1.89435e+27 
6.19074 1.89333e+27 
6.18787 1.89231e+27 
6.18499 1.8913e+27 
6.18212 1.89028e+27 
6.17925 1.88926e+27 
6.17637 1.88824e+27 
6.1735 1.88722e+27 
6.17063 1.88621e+27 
6.16777 1.88519e+27 
6.1649 1.88418e+27 
6.16203 1.88316e+27 
6.15917 1.88215e+27 
6.1563 1.88113e+27 
6.15344 1.88012e+27 
6.15058 1.87911e+27 
6.14772 1.87809e+27 
6.14486 1.87708e+27 
6.142 1.87607e+27 
6.13915 1.87506e+27 
6.13629 1.87405e+27 
6.13344 1.87303e+27 
6.13058 1.87202e+27 
6.12773 1.87102e+27 
6.12488 1.87001e+27 
6.12203 1.869e+27 
6.11918 1.86799e+27 
6.11633 1.86698e+27 
6.11349 1.86597e+27 
6.11064 1.86497e+27 
6.1078 1.86396e+27 
6.10495 1.86295e+27 
6.10211 1.86195e+27 
6.09927 1.86094e+27 
6.09643 1.85994e+27 
6.09359 1.85893e+27 
6.09075 1.85793e+27 
6.08792 1.85693e+27 
6.08508 1.85592e+27 
6.08225 1.85492e+27 
6.07942 1.85392e+27 
6.07658 1.85292e+27 
6.07375 1.85192e+27 
6.07092 1.85092e+27 
6.0681 1.84992e+27 
6.06527 1.84892e+27 
6.06244 1.84792e+27 
6.05962 1.84692e+27 
6.05679 1.84592e+27 
6.05397 1.84492e+27 
6.05115 1.84393e+27 
6.04833 1.84293e+27 
6.04551 1.84193e+27 
6.04269 1.84094e+27 
6.03987 1.83994e+27 
6.03706 1.83895e+27 
6.03424 1.83795e+27 
6.03143 1.83696e+27 
6.02862 1.83596e+27 
6.02581 1.83497e+27 
6.023 1.83398e+27 
6.02019 1.83298e+27 
6.01738 1.83199e+27 
6.01457 1.831e+27 
6.01177 1.83001e+27 
6.00896 1.82902e+27 
6.00616 1.82803e+27 
6.00335 1.82704e+27 
6.00055 1.82605e+27 
5.99775 1.82506e+27 
5.99495 1.82407e+27 
5.99216 1.82308e+27 
