x Xe ne tau dtaudx ddtauddx g dgdx ddgddx 
-11 1 5.40719e+13 12881.2 -13954.9 0 0 0 0 
-10.9989 1 5.38937e+13 12865.8 -13944.9 18159.8 0 0 0 
-10.9978 1 5.37161e+13 12850.5 -13927.6 13273.9 0 0 0 
-10.9967 1 5.35392e+13 12835.2 -13912.3 14563.1 0 0 0 
-10.9956 1 5.33627e+13 12819.9 -13896.5 14197.7 0 0 0 
-10.9945 1 5.31869e+13 12804.6 -13880.8 14275.6 0 0 0 
-10.9934 1 5.30117e+13 12789.4 -13865.1 14234.8 0 0 0 
-10.9923 1 5.2837e+13 12774.1 -13849.5 14225.9 0 0 0 
-10.9912 1 5.26629e+13 12758.9 -13833.8 14208.4 0 0 0 
-10.9901 1 5.24894e+13 12743.7 -13818.2 14193.2 0 0 0 
-10.989 1 5.23165e+13 12728.5 -13802.6 14177.4 0 0 0 
-10.9879 1 5.21441e+13 12713.3 -13787 14161.9 0 0 0 
-10.9868 1 5.19723e+13 12698.1 -13771.5 14146.2 0 0 0 
-10.9857 1 5.1801e+13 12683 -13755.9 14130.7 0 0 0 
-10.9846 1 5.16303e+13 12667.9 -13740.4 14115.1 0 0 0 
-10.9835 1 5.14602e+13 12652.8 -13724.8 14099.5 0 0 0 
-10.9824 1 5.12907e+13 12637.7 -13709.3 14084 0 0 0 
-10.9813 1 5.11217e+13 12622.6 -13693.9 14068.5 0 0 0 
-10.9802 1 5.09532e+13 12607.5 -13678.4 14053 0 0 0 
-10.9791 1 5.07854e+13 12592.5 -13662.9 14037.5 0 0 0 
-10.978 1 5.0618e+13 12577.5 -13647.5 14022 0 0 0 
-10.9769 1 5.04512e+13 12562.5 -13632.1 14006.6 0 0 0 
-10.9758 1 5.0285e+13 12547.5 -13616.7 13991.1 0 0 0 
-10.9747 1 5.01193e+13 12532.5 -13601.3 13975.7 0 0 0 
-10.9736 1 4.99542e+13 12517.6 -13585.9 13960.3 0 0 0 
